Data Analisi;Gran Grup;Llista_Pre;Intervencions_Pre;Derivades_Pre;En llista;Intervencions;IQs derivades i realitzades a UP desti;En baixa temporal;IQs en baixa temporal;Intervencions fora termini;n;Sortides;Dies en llista;Dies en llista (sense BT);ED0-25;ED100+;ED26-50;ED51-75;ED76-100;EE0-25;EE100+;EE26-50;EE51-75;EE76-100
01/03/2015;1;116;58;2;116;58;2;8;8;9;1231;61;40202;37475;9;4;5;3;0;6;1;1;0;1
01/03/2015;2;18;16;0;18;16;0;0;0;3;189;16;7965;7248;0;0;0;2;0;0;0;0;2;1
01/03/2015;3;8;7;0;8;7;0;0;0;0;130;7;18337;17835;0;0;0;0;0;0;0;0;0;0
01/03/2015;4;631;83;12;631;83;12;30;28;48;2781;90;448692;382561;47;0;3;0;0;39;0;8;0;1
01/03/2015;5;3576;544;138;3576;544;138;158;117;68;16567;619;2803260;2547118;268;33;123;93;71;23;8;11;13;13
01/04/2015;1;115;78;4;115;78;4;7;7;18;1322;79;43823;41093;9;6;3;0;1;2;1;12;1;2
01/04/2015;2;23;11;0;23;11;0;1;1;3;208;13;8535;7818;0;0;1;0;0;2;0;0;0;1
01/04/2015;3;7;6;0;7;6;0;0;0;0;136;7;18595;18093;0;0;0;0;0;0;0;0;0;0
01/04/2015;4;693;64;34;693;64;34;29;28;31;2944;76;471423;404519;61;0;9;0;0;25;0;5;1;0
01/04/2015;5;3677;455;211;3677;455;211;133;130;38;17338;537;2924125;2665433;284;40;134;104;60;15;4;4;5;10
01/05/2015;1;133;76;6;133;76;6;5;4;13;1434;78;47619;44915;5;5;10;4;0;6;2;6;1;0
01/05/2015;2;23;12;0;23;12;0;1;1;2;220;12;9275;8558;1;0;0;0;0;1;0;0;1;0
01/05/2015;3;6;5;0;6;5;0;0;0;0;142;6;18854;18352;1;0;0;0;0;0;0;0;0;0
01/05/2015;4;728;71;55;728;71;55;36;36;37;3112;79;495131;427231;64;0;25;2;0;29;0;8;0;0
01/05/2015;5;3508;454;290;3508;454;290;159;154;47;18140;549;3041459;2778587;238;45;151;93;40;14;6;7;10;10
01/06/2015;1;108;90;10;108;90;10;17;17;16;1529;93;52008;49160;2;1;4;3;0;5;3;6;6;0
01/06/2015;2;10;16;0;10;16;0;4;4;2;231;17;9911;9180;0;0;0;0;0;2;0;0;0;0
01/06/2015;3;6;4;0;6;4;0;0;0;0;149;5;18847;18345;0;0;0;0;0;0;0;0;0;0
01/06/2015;4;668;70;76;668;70;76;39;36;37;3265;78;520640;451645;60;0;21;9;0;27;0;8;2;0
01/06/2015;5;3385;416;377;3385;416;377;166;156;25;18936;477;3164623;2897618;247;41;170;83;45;4;8;5;5;3
01/07/2015;1;119;85;10;119;85;10;13;13;17;1632;86;56038;52655;11;1;7;1;1;7;2;7;5;1
01/07/2015;2;22;6;0;22;6;0;3;2;2;248;6;10477;9658;0;0;0;0;0;0;0;2;0;0
01/07/2015;3;1;4;0;1;4;0;0;0;0;180;6;25288;24698;0;0;0;0;0;0;0;0;0;0
01/07/2015;4;492;74;108;492;74;108;92;87;42;4109;81;699996;616475;17;0;2;2;0;15;0;22;5;0
01/07/2015;5;3509;369;444;3509;369;444;221;223;25;23825;434;3985352;3683234;238;32;179;89;45;9;6;3;3;4
01/08/2015;1;111;56;15;111;56;15;19;19;13;1692;59;60518;56688;15;1;10;7;2;1;1;6;5;2
01/08/2015;2;24;3;0;24;3;0;2;2;1;253;3;11215;10334;3;0;2;0;0;0;0;1;0;0
01/08/2015;3;1;0;0;1;0;0;0;0;0;180;0;25319;24729;0;0;0;0;0;0;0;0;0;0
01/08/2015;4;540;16;125;540;16;125;68;67;4;4173;21;720881;636241;42;0;10;0;1;1;0;0;3;0
01/08/2015;5;3650;259;470;3650;259;470;203;204;5;23839;311;4058857;3753445;197;41;194;116;66;3;0;0;2;0
01/09/2015;1;105;66;17;105;66;17;26;26;19;1780;68;65095;60736;10;7;5;4;3;4;3;11;5;4
01/09/2015;2;20;13;0;20;13;0;6;6;10;266;13;11987;11057;2;0;0;1;0;4;0;5;1;0
01/09/2015;3;4;2;0;4;2;0;0;0;0;182;2;25122;24532;0;0;0;0;0;0;0;0;0;0
01/09/2015;4;606;38;147;606;38;147;49;49;11;4234;44;728737;644858;59;0;12;6;1;9;0;1;1;0
01/09/2015;5;3868;315;539;3868;315;539;120;121;19;23994;377;4107043;3804181;215;60;196;142;65;3;2;7;3;4
01/10/2015;1;127;85;25;127;85;25;5;5;44;1876;87;69759;64978;4;3;7;2;4;11;9;15;8;6
01/10/2015;2;23;14;0;23;14;0;8;8;7;286;14;12919;11761;1;0;0;1;0;3;0;3;1;0
01/10/2015;3;6;6;0;6;6;0;1;1;0;184;8;23398;22822;0;0;1;0;0;0;0;0;0;0
01/10/2015;4;628;87;195;628;87;195;29;29;41;4033;94;689247;608212;74;0;19;3;0;37;0;3;0;1
01/10/2015;5;3946;467;619;3946;467;619;95;96;50;23481;531;4012539;3712904;207;62;190;137;65;12;9;13;8;8
01/11/2015;1;100;99;32;100;99;32;22;22;18;1988;107;74372;69123;0;0;0;0;0;11;2;7;4;2
01/11/2015;2;16;21;0;16;21;0;10;10;4;302;21;13822;12407;0;0;0;0;0;3;0;0;1;0
01/11/2015;3;2;7;0;2;7;0;0;0;0;176;9;20023;19497;0;0;0;0;0;0;0;0;0;0
01/11/2015;4;558;79;299;558;79;299;40;40;41;4039;85;678255;598520;41;0;16;6;0;35;0;5;1;0
01/11/2015;5;3933;541;714;3933;541;714;131;133;43;23340;607;3965400;3670910;239;68;150;143;82;14;9;9;6;5
01/12/2015;1;73;83;36;73;83;36;29;29;14;2061;87;78971;72976;0;0;0;0;0;9;1;6;0;0
01/12/2015;2;26;9;0;26;9;0;10;10;1;321;9;14749;13036;0;0;0;0;0;1;0;0;0;0
01/12/2015;3;0;2;0;0;2;0;0;0;0;174;2;19366;18840;0;0;0;0;0;0;0;0;0;0
01/12/2015;4;511;75;346;511;75;346;91;91;36;4068;81;695282;613908;0;0;1;0;1;25;0;9;2;0
01/12/2015;5;4027;381;752;4027;381;752;154;160;24;23331;429;4001192;3704421;219;67;151;146;110;6;6;6;5;1
01/01/2016;1;100;60;36;100;60;36;7;7;12;2119;65;83171;76555;8;0;11;2;0;12;1;4;0;0
01/01/2016;2;33;6;0;33;6;0;5;5;1;328;6;15918;14008;7;0;0;0;0;1;0;0;0;0
01/01/2016;3;4;4;0;4;4;0;0;0;0;175;4;18502;17976;0;0;0;0;0;0;0;0;0;0
01/01/2016;4;589;21;361;589;21;361;35;35;2;4138;21;711768;628907;26;0;7;1;0;1;0;1;0;0
01/01/2016;5;4175;373;822;4175;373;822;80;81;27;23268;423;4026898;3730277;243;93;150;146;114;11;6;4;4;2
01/02/2016;1;134;81;39;134;81;39;8;8;20;2177;82;86756;79925;6;2;2;1;6;7;0;11;2;3
01/02/2016;2;24;21;0;24;21;0;5;5;12;341;21;16996;14951;4;0;2;0;0;7;0;4;1;0
01/02/2016;3;4;8;0;4;8;0;0;0;0;174;8;16768;16341;0;0;0;0;0;0;0;0;0;0
01/02/2016;4;623;63;405;623;63;405;25;25;15;4242;63;730755;647864;42;0;7;3;0;7;0;6;2;0
01/02/2016;5;4266;472;893;4266;472;893;91;94;38;23335;523;4065599;3771162;235;121;172;116;121;18;5;8;5;2
01/03/2016;1;104;83;39;104;83;39;29;29;12;2183;85;89902;82685;6;0;5;3;0;4;3;4;2;1
01/03/2016;2;20;8;1;20;8;1;15;15;6;344;9;17367;15081;1;0;0;0;0;3;0;0;2;1
01/03/2016;3;5;7;0;5;7;0;0;0;0;173;7;15312;14885;0;0;0;0;0;0;0;0;0;0
01/03/2016;4;564;52;445;564;52;445;43;43;20;4232;57;740141;657708;28;0;7;1;0;7;1;9;3;0
01/03/2016;5;4336;458;962;4336;458;962;105;105;46;23314;499;4093492;3799574;276;144;153;114;115;17;9;8;6;6
01/04/2016;1;132;83;40;132;83;40;9;9;21;2218;89;93099;85316;7;0;9;4;2;12;3;5;1;7
01/04/2016;2;24;18;1;24;18;1;8;8;2;348;18;17864;15301;1;0;0;0;0;2;0;0;0;0
01/04/2016;3;7;7;0;7;7;0;0;0;0;171;8;12756;12329;0;0;0;0;0;0;0;0;0;0
01/04/2016;4;564;52;483;564;52;483;35;43;19;4187;57;746187;664493;34;0;12;1;0;13;0;5;1;0
01/04/2016;5;4382;528;1005;4382;528;1005;114;120;57;23194;607;4083540;3815054;279;152;163;106;102;28;7;7;7;8
01/05/2016;1;107;90;41;107;90;41;21;21;19;2239;90;95836;87872;11;1;1;2;2;8;2;8;2;2
01/05/2016;2;18;15;1;18;15;1;8;7;4;340;15;18086;15366;1;0;0;0;0;2;0;2;0;0
01/05/2016;3;3;7;0;3;7;0;0;0;0;164;7;10876;10449;0;0;0;0;0;0;0;0;0;0
01/05/2016;4;584;68;563;584;68;563;25;30;27;4264;74;764931;685085;40;0;12;1;0;21;0;6;0;0
01/05/2016;5;4384;523;1070;4384;523;1070;119;125;49;23158;598;4128669;3860929;323;176;145;127;84;23;5;13;7;1
01/06/2016;1;85;104;41;85;104;41;29;29;25;2264;111;99006;90056;0;0;0;0;0;8;5;11;1;2
01/06/2016;2;13;12;1;13;12;1;6;6;4;332;12;18178;15282;0;0;0;0;0;4;0;0;0;0
01/06/2016;3;3;8;0;3;8;0;0;0;0;159;9;7606;7221;0;0;0;0;0;0;0;0;0;0
01/06/2016;4;476;65;618;476;65;618;58;65;22;4231;78;756673;677218;0;0;0;0;0;15;0;5;2;0
01/06/2016;5;4088;559;1144;4088;559;1144;139;145;41;23129;679;4114428;3847969;256;201;165;108;82;25;3;9;2;2
01/07/2016;1;88;74;42;88;74;42;29;29;15;2259;85;100397;90971;0;0;1;0;0;8;2;2;2;1
01/07/2016;2;12;10;1;12;10;1;6;6;1;330;13;18128;15077;1;0;0;0;0;1;0;0;0;0
01/07/2016;3;6;4;0;6;4;0;0;0;0;149;4;5236;4862;0;0;0;0;0;0;0;0;0;0
01/07/2016;4;542;28;670;542;28;670;50;54;1;4061;32;751772;671864;21;0;2;1;0;0;0;1;0;0
01/07/2016;5;4343;363;1170;4343;363;1170;146;151;18;23048;421;4184639;3917841;265;219;181;115;89;6;4;6;1;1
01/08/2016;1;74;82;42;74;82;42;23;23;10;2267;88;103153;93135;6;3;2;5;1;8;1;2;2;0
01/08/2016;2;13;7;1;13;7;1;5;5;1;335;10;18422;15236;0;0;0;0;0;1;0;0;0;0
01/08/2016;3;6;0;0;6;0;0;0;0;0;144;0;4857;4483;0;0;0;0;0;0;0;0;0;0
01/08/2016;4;529;33;683;529;33;683;49;52;8;3875;39;759748;679957;44;0;5;2;0;7;0;1;0;0
01/08/2016;5;4331;381;1192;4331;381;1192;144;147;21;23024;427;4313824;4045080;215;232;226;101;107;11;6;2;2;0
01/09/2016;1;87;72;42;87;72;42;33;33;20;2285;78;103953;93465;3;0;1;1;2;11;1;3;1;4
01/09/2016;2;11;10;1;11;10;1;5;5;2;337;11;18457;15209;0;0;0;0;0;1;0;1;0;0
01/09/2016;3;18;4;0;18;4;0;0;0;0;161;6;4698;4541;0;1;0;0;0;0;0;0;0;0
01/09/2016;4;586;44;721;586;44;721;25;34;18;3904;47;789669;709809;68;0;19;1;1;11;0;7;0;0
